Windows SDK ARM Desktop Tools                                                  10.1.22621.1778   
Python 3.9.13 Core Interpreter (64-bit symbols)                                3.9.13150.0       
Microsoft.Android.Runtime.33.android-x86 (x64)                                 33.0.68.0         
Windows SDK AddOn                                                              10.1.0.0          
vs_githubprotocolhandlermsi                                                    17.7.33905        
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)                      56.44.907         
Microsoft ASP.NET Core 6.0.32 Shared Framework (x64)                           6.0.32.24314      
Windows SDK EULA                                                               10.1.22621.1778   
vs_minshellmsires                                                              17.7.33905        
VS Immersive Activate Helper                                                   17.0.125.0        
Windows SDK Desktop Tools x86                                                  10.1.22621.1778   
KeePassXC                                                                      2.7.7             
